location,date,variant,num_sequences,perc_sequences,num_sequences_total
Argentina,11/5/2020,B.1.160,,,149
Argentina,11/5/2020,B.1.620,,,149
Argentina,11/5/2020,B.1.258,0,0,149
Argentina,11/5/2020,B.1.221,,,149
Argentina,11/5/2020,B.1.1.302,,,149
Argentina,11/5/2020,B.1.1.277,,,149
Argentina,11/5/2020,B.1.1.519,0,0,149
Argentina,11/5/2020,B.1.367,,,149
Argentina,11/5/2020,B.1.177,,,149
Argentina,11/5/2020,Beta,0,0,149
Argentina,11/5/2020,Alpha,0,0,149
Argentina,11/5/2020,Gamma,0,0,149
Argentina,11/5/2020,Delta,0,0,149
Argentina,11/5/2020,Kappa,,,149
Argentina,11/5/2020,Epsilon,0,0,149
Argentina,11/5/2020,Eta,0,0,149
Argentina,11/5/2020,Iota,0,0,149
Argentina,11/5/2020,Lambda,0,0,149
Argentina,11/5/2020,Mu,0,0,149
Argentina,11/5/2020,S:677P.Pelican,,,149
Argentina,11/5/2020,S:677H.Robin1,,,149
Argentina,11/5/2020,others,149,100,149
Argentina,11/5/2020,non_who,149,100,149
Australia,11/5/2020,B.1.160,0,0,148
Australia,11/5/2020,B.1.620,,,148
Australia,11/5/2020,B.1.258,0,0,148
Australia,11/5/2020,B.1.221,0,0,148
Australia,11/5/2020,B.1.1.302,,,148
Australia,11/5/2020,B.1.1.277,,,148
Australia,11/5/2020,B.1.1.519,0,0,148
Australia,11/5/2020,B.1.367,,,148
Australia,11/5/2020,B.1.177,0,0,148
Australia,11/5/2020,Beta,0,0,148
Australia,11/5/2020,Alpha,0,0,148
Australia,11/5/2020,Gamma,0,0,148
Australia,11/5/2020,Delta,0,0,148
Australia,11/5/2020,Kappa,0,0,148
Australia,11/5/2020,Epsilon,0,0,148
Australia,11/5/2020,Eta,0,0,148
Australia,11/5/2020,Iota,0,0,148
Australia,11/5/2020,Lambda,0,0,148
Australia,11/5/2020,Mu,0,0,148
Australia,11/5/2020,S:677P.Pelican,0,0,148
Australia,11/5/2020,S:677H.Robin1,0,0,148
Australia,11/5/2020,others,148,100,148
Australia,11/5/2020,non_who,148,100,148
Austria,11/5/2020,B.1.160,0,0,34
Austria,11/5/2020,B.1.620,,,34
Austria,11/5/2020,B.1.258,0,0,34
Austria,11/5/2020,B.1.221,0,0,34
Austria,11/5/2020,B.1.1.302,,,34
Austria,11/5/2020,B.1.1.277,0,0,34
Austria,11/5/2020,B.1.1.519,,,34
Austria,11/5/2020,B.1.367,0,0,34
Austria,11/5/2020,B.1.177,0,0,34
Austria,11/5/2020,Beta,0,0,34
Austria,11/5/2020,Alpha,0,0,34
Austria,11/5/2020,Gamma,0,0,34
Austria,11/5/2020,Delta,0,0,34
Austria,11/5/2020,Kappa,0,0,34
Austria,11/5/2020,Epsilon,,,34
Austria,11/5/2020,Eta,0,0,34
Austria,11/5/2020,Iota,0,0,34
Austria,11/5/2020,Lambda,,,34
Austria,11/5/2020,Mu,0,0,34
Austria,11/5/2020,S:677P.Pelican,,,34
Austria,11/5/2020,S:677H.Robin1,,,34
Austria,11/5/2020,others,34,100,34
Austria,11/5/2020,non_who,34,100,34
Bangladesh,11/5/2020,B.1.160,,,106
Bangladesh,11/5/2020,B.1.620,,,106
Bangladesh,11/5/2020,B.1.258,,,106
Bangladesh,11/5/2020,B.1.221,,,106
Bangladesh,11/5/2020,B.1.1.302,,,106
Bangladesh,11/5/2020,B.1.1.277,,,106
Bangladesh,11/5/2020,B.1.1.519,,,106
Bangladesh,11/5/2020,B.1.367,,,106
Bangladesh,11/5/2020,B.1.177,,,106
Bangladesh,11/5/2020,Beta,0,0,106
Bangladesh,11/5/2020,Alpha,0,0,106
Bangladesh,11/5/2020,Gamma,0,0,106
Bangladesh,11/5/2020,Delta,0,0,106
Bangladesh,11/5/2020,Kappa,,,106
Bangladesh,11/5/2020,Epsilon,,,106
Bangladesh,11/5/2020,Eta,0,0,106
Bangladesh,11/5/2020,Iota,,,106
Bangladesh,11/5/2020,Lambda,,,106
Bangladesh,11/5/2020,Mu,,,106
Bangladesh,11/5/2020,S:677P.Pelican,,,106
Bangladesh,11/5/2020,S:677H.Robin1,,,106
Bangladesh,11/5/2020,others,106,100,106
Bangladesh,11/5/2020,non_who,106,100,106
Belgium,11/5/2020,B.1.160,0,0,134
Belgium,11/5/2020,B.1.620,0,0,134
Belgium,11/5/2020,B.1.258,0,0,134
Belgium,11/5/2020,B.1.221,0,0,134
Belgium,11/5/2020,B.1.1.302,,,134
Belgium,11/5/2020,B.1.1.277,0,0,134
Belgium,11/5/2020,B.1.1.519,0,0,134
Belgium,11/5/2020,B.1.367,0,0,134
Belgium,11/5/2020,B.1.177,0,0,134
Belgium,11/5/2020,Beta,0,0,134
Belgium,11/5/2020,Alpha,0,0,134
Belgium,11/5/2020,Gamma,0,0,134
Belgium,11/5/2020,Delta,0,0,134
Belgium,11/5/2020,Kappa,0,0,134
Belgium,11/5/2020,Epsilon,0,0,134
Belgium,11/5/2020,Eta,0,0,134
Belgium,11/5/2020,Iota,0,0,134
Belgium,11/5/2020,Lambda,0,0,134
Belgium,11/5/2020,Mu,0,0,134
Belgium,11/5/2020,S:677P.Pelican,,,134
Belgium,11/5/2020,S:677H.Robin1,,,134
Belgium,11/5/2020,others,134,100,134
Belgium,11/5/2020,non_who,134,100,134
Brazil,11/5/2020,B.1.160,0,0,307
Brazil,11/5/2020,B.1.620,,,307
Brazil,11/5/2020,B.1.258,,,307
Brazil,11/5/2020,B.1.221,0,0,307
Brazil,11/5/2020,B.1.1.302,,,307
Brazil,11/5/2020,B.1.1.277,,,307
Brazil,11/5/2020,B.1.1.519,0,0,307
Brazil,11/5/2020,B.1.367,,,307
Brazil,11/5/2020,B.1.177,0,0,307
Brazil,11/5/2020,Beta,0,0,307
Brazil,11/5/2020,Alpha,0,0,307
Brazil,11/5/2020,Gamma,0,0,307
Brazil,11/5/2020,Delta,0,0,307
Brazil,11/5/2020,Kappa,,,307
Brazil,11/5/2020,Epsilon,,,307
Brazil,11/5/2020,Eta,0,0,307
Brazil,11/5/2020,Iota,,,307
Brazil,11/5/2020,Lambda,0,0,307
Brazil,11/5/2020,Mu,0,0,307
Brazil,11/5/2020,S:677P.Pelican,,,307
Brazil,11/5/2020,S:677H.Robin1,,,307
Brazil,11/5/2020,others,307,100,307
Brazil,11/5/2020,non_who,307,100,307
Canada,11/5/2020,B.1.160,0,0,881
Canada,11/5/2020,B.1.620,0,0,881
Canada,11/5/2020,B.1.258,0,0,881
